index,lifehist,ModeReproduction,Symbionts,family_molecules,genus,spp_phylo,species_name,Location_name,ABSLatitude,volume,lg.eggsize,sstmean,sstvarall,chlamean
93,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_nasuta,Acropora nasuta,Tiao-Shi-Nanwan-Kenting_Taiwan,21.957822,141154971,18.76536893,26.69642,3.871768518,0.3044986
94,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_palmata,Acropora palmata,MayanCoast-Mexico,20.5325,14137166.93,16.46431784,28.04956,1.374334182,0.1290228
95,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_papillare,Acropora papillare,Ningaloo-Reef-Australia,23.17,76635583.24,18.15457206,24.54691,3.538341578,0.4856855
96,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_pharaonis,Acropora pharaonis,Eilat_Israel,29.509704,27611654.06,17.13374849,24.18318,5.098983997,0.1745565
97,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_polystoma,Acropora polystoma,ScottReef-W-Australia,14.001409,135273661.9,18.72281041,28.78224,2.197272582,0.2765393
98,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_pulchra,Acropora pulchra,Pioneer-Bay_Orpheus-Island,18.609756,99541036.08,18.41608054,26.12825,6.534270913,1.118393
99,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_samoensis,Acropora samoensis,Dampier_Australia,20.4645,73622176.54,18.11445685,26.59857,6.735223943,0.896987
100,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_samoensis,Acropora samoensis,MombasaMNP-Kenya,4.026741,42802369.45,17.57210402,27.07738,1.469125806,0.2810418
101,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_samoensis,Acropora samoensis,ScottReef-W-Australia,14.001409,179594379.7,19.00621142,28.78224,2.197272582,0.2765393
102,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_secale,Acropora secale,MombasaMNP-Kenya,4.026741,65057932.49,17.9907887,27.07738,1.469125806,0.2810418
103,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_secale,Acropora secale,Palau,7.307804,160316533,18.89266075,29.26278,0.891619582,0.2737141
104,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_solitaryensis,Acropora solitaryensis,Solitary-Islands_Australia,29.924725,201359730.4,19.12060357,22.32569,4.45862651,0.7583831
105,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_spathulata,Acropora spathulata,Heron-Island,23.43735,98052574.77,18.40101437,24.39077,4.426336301,0.4277969
106,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_spathulata,Acropora spathulata,Orpheus,18.636954,90482420.39,18.32066614,26.11052,6.357074713,0.8734128
107,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_spicifera,Acropora spicifera,Ningaloo-Reef-Australia,23.17,89028266.64,18.30446448,24.54691,3.538341578,0.4856855
108,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_spicifera,Acropora spicifera,ScottReef-W-Australia,14.001409,149141102.1,18.82040341,28.78224,2.197272582,0.2765393
